0,1,2,3,4,5,6,7,8,9,10
ราคาน้ำมันวันที่ 22/01/2020,,,,,,,,,,
"Reported by Petroleum Division, EPPO",,,,,,,,,,
รายงานโดยส่วนปิโตรเลียม สนพ.,,,,,,,,,,
Tel 0-2612-1555 ext 567,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ราคาขายปลีกมาตรฐาน ในเขต กทม. นนทบุรี,,,,,,,,,,
ปทุมธานี และสมุทรปราการ,,,,,,,,,,
หน่วย : บาท/ลิตร,,,,,,,,,,
Retail Prices in Bangkok & Vicinities,ปตท,บางจาก,เชลล์,เอสโซ่,เชฟรอน,ไออาร์พีซี,พีทีจี ,,เพียว,ซัสโก้ ดีลเลอร์
Unit : Baht/Litre,PTT,BCP,Shell,Esso,Chevron,IRPC,เอ็นเนอยี,Susco,Pure,SUSCO
,,,,,,,PT,,, Dealers
แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),26.65,26.65,26.65,26.65,26.65,26.65,26.65,26.65,26.65,26.65
แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E20),23.64,23.64,23.64,23.64,23.64,0,23.64,23.64,23.64,23.64
แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E85),19.64,19.64,0,0,0,0,0,19.64,0,0
แก๊สโซฮอล ออกเทน 91 (Gasohol 91-E10),26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38
แก๊สโซฮอล ออกเทน 95 พรีเมียม,0,0,0,0,0,0,0,0,0,0
เบนซิน ออกเทน 95 (ULG 95 RON),34.06,0,0,0,34.51,0,34.56,34.36,0,34.36
เบนซิน ออกเทน 95 พรีเมียม,0,0,0,0,0,0,0,0,0,0
ดีเซลหมุนเร็ว HSD B7,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79
ดีเซลหมุนเร็ว HSD B10,25.79,25.79,25.79,25.79,25.79,0,25.79,25.79,0,25.79
ดีเซลหมุนเร็ว HSD B20,24.79,24.79,25.19,24.79,24.79,0,24.79,24.79,0,24.79
ดีเซลหมุนเร็ว พรีเมียม,31.64,31.66,32.64,32.64,32.64,0,0,0,0,0
มีผลตั้งแต่ (Effective Date),22 Jan 05:00,22 Jan 05:00,22 Jan 05:00,22 Jan 05:00,22 Jan 05:00,22 Jan 05:00,22 Jan 05:00,22 Jan 05:00,22 Jan 00:01,22 Jan 05:00
 ,,,,,,,,,,
                 ,,,,,,,,,,
"หมายเหตุ :   1/    ราคาน้ำมันเบนซินออกเทน 95 ที่เป็นราคาขายของบริษัทฯ ณ กทม., นนทบุรี, ปทุมธานีและสมุทรปราการ ราคาจะเท่ากับ ",,,,,,,49.6,บาท/ลิตร,,
                     ทั้งนี้ ในเขตอื่นนอกเหนือจากที่แจ้ง จะเป็นราคามาตรฐานที่ประกาศในตารางข้างต้น เป็นราคาเริ่มต้นในการคำนวณค่าความต่าง ที่แตกต่างกันไป,,,,,,,,,,
                2/    ราคาน้ำมันเบนซินออกเทน 95 ที่เป็นราคาขายของบริษัทฯ ณ กทม.และ สมุทรปราการ ราคาจะเท่ากับ 26.59 บาท/ลิตร,,,,,,,,,,
                     ทั้งนี้ ในเขตอื่นนอกเหนือจากที่แจ้ง จะเป็นราคามาตรฐานที่ประกาศในตารางข้างต้น เป็นราคาเริ่มต้นในการคำนวณค่าความต่าง ที่แตกต่างกันไป,,,,,,,,,,
