0,1,2,3,4,5,6,7,8,9,10
ราคาน้ำมันวันที่ 14/10/2020,,,,,,,,,,
"Reported by Petroleum Division, EPPO",,,,,,,,,,
รายงานโดยส่วนปิโตรเลียม สนพ.,,,,,,,,,,
Tel 0-2612-1555 ext 567,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ราคาขายปลีกมาตรฐาน ในเขต กทม. นนทบุรี,,,,,,,,,,
ปทุมธานี และสมุทรปราการ,,,,,,,,,,
หน่วย : บาท/ลิตร,,,,,,,,,,
Retail Prices in Bangkok & Vicinities,ปตท,บางจาก,เชลล์,เอสโซ่,เชฟรอน,ไออาร์พีซี,พีทีจี ,,เพียว,ซัสโก้ ดีลเลอร์
Unit : Baht/Litre,PTT,BCP,Shell,Esso,Chevron,IRPC,เอ็นเนอยี,Susco,Pure,SUSCO
,,,,,,,PT,,, Dealers
แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),22.05,22.05,22.05,22.05,22.05,22.05,22.05,22.05,22.05,22.05
แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E20),20.54,20.54,20.54,20.54,20.54,0,20.54,20.54,20.54,20.54
แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E85),18.14,18.14,0,0,0,0,0,0,0,0
แก๊สโซฮอล ออกเทน 91 (Gasohol 91-E10),21.78,21.78,21.78,21.78,21.78,21.78,21.78,21.78,21.78,21.78
แก๊สโซฮอล ออกเทน 95 พรีเมียม,0,0,0,0,0,0,0,0,0,0
เบนซิน ออกเทน 95 (ULG 95 RON),29.46,0,0,0,29.91,0,29.96,29.46,0,29.46
เบนซิน ออกเทน 95 พรีเมียม,0,0,0,0,0,0,0,0,0,0
ดีเซลหมุนเร็ว HSD B7,21.89,21.89,21.89,21.89,21.89,21.89,21.89,21.89,21.89,21.89
ดีเซลหมุนเร็ว HSD B10,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89,18.89
ดีเซลหมุนเร็ว HSD B20,18.64,18.64,18.64,18.64,18.64,0,18.64,18.64,0,18.64
ดีเซลหมุนเร็ว พรีเมียม,26.34,26.36,28.34,28.04,28.34,0,0,0,0,0
มีผลตั้งแต่ (Effective Date),10 Oct 05:00,10 Oct 05:00,06 Oct 05:00,10 Oct 05:00,08 Oct 05:00,10 Oct 05:00,10 Oct 05:00,10 Oct 05:00,10 Oct 05:00,10 Oct 05:00
 ,,,,,,,,,,
                 ,,,,,,,,,,
"หมายเหตุ :   1/    ราคาน้ำมันเบนซินออกเทน 95 ที่เป็นราคาขายของบริษัทฯ ณ กทม., นนทบุรี, ปทุมธานีและสมุทรปราการ ราคาจะเท่ากับ ",,,,,,,49.6,บาท/ลิตร,,
                     ทั้งนี้ ในเขตอื่นนอกเหนือจากที่แจ้ง จะเป็นราคามาตรฐานที่ประกาศในตารางข้างต้น เป็นราคาเริ่มต้นในการคำนวณค่าความต่าง ที่แตกต่างกันไป,,,,,,,,,,
                2/    ราคาน้ำมันเบนซินออกเทน 95 ที่เป็นราคาขายของบริษัทฯ ณ กทม.และ สมุทรปราการ ราคาจะเท่ากับ 26.59 บาท/ลิตร,,,,,,,,,,
                     ทั้งนี้ ในเขตอื่นนอกเหนือจากที่แจ้ง จะเป็นราคามาตรฐานที่ประกาศในตารางข้างต้น เป็นราคาเริ่มต้นในการคำนวณค่าความต่าง ที่แตกต่างกันไป,,,,,,,,,,
