date,station,fuel_type,effective_date,price
2018-01-01,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,27.95
2018-01-01,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,27.95
2018-01-01,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,0
2018-01-02,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,27.95
2018-01-02,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,27.95
2018-01-02,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,0
2018-01-03,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,27.95
2018-01-03,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,27.95
2018-01-03,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,0
2018-01-04,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,27.95
2018-01-04,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,27.95
2018-01-04,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,0
2018-01-05,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,27.95
2018-01-05,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,27.95
2018-01-05,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,0
2018-01-06,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,27.95
2018-01-06,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,27.95
2018-01-06,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,0
2018-01-07,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,27.95
2018-01-07,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,27.95
2018-01-07,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),30 Dec 05:00,0
