0,1,2,3,4,5,6,7,8,9,10
ราคาน้ำมันวันที่ 06/03/2022,,,,,,,,,,
"Reported by Petroleum Division, EPPO",,,,,,,,,,
รายงานโดยส่วนปิโตรเลียม สนพ.,,,,,,,,,,
Tel 0-2612-1555 ext 567,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ราคาขายปลีกมาตรฐาน ในเขต กทม. นนทบุรี,,,,,,,,,,
ปทุมธานี และสมุทรปราการ,,,,,,,,,,
หน่วย : บาท/ลิตร,,,,,,,,,,
Retail Prices in Bangkok & Vicinities,ปตท,บางจาก,เชลล์,เอสโซ่,เชฟรอน,ไออาร์พีซี,พีทีจี ,,เพียว,ซัสโก้ ดีลเลอร์
Unit : Baht/Litre,PTT,BCP,Shell,Esso,Chevron,IRPC,เอ็นเนอยี,Susco,Pure,SUSCO
,,,,,,,PT,,, Dealers
แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),37.75,37.75,39.45,38.35,38.75,37.75,38.25,37.85,38.35,37.85
แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E20),36.64,36.64,38.34,37.24,37.64,0,37.14,36.74,37.24,36.74
แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E85),29.94,29.94,0,0,0,0,0,0,0,0
แก๊สโซฮอล ออกเทน 91 (Gasohol 91-E10),37.48,37.48,39.18,38.08,38.48,37.48,37.98,37.58,38.08,37.58
แก๊สโซฮอล ออกเทน 95 พรีเมียม,0,0,0,0,0,0,0,0,0,0
เบนซิน ออกเทน 95 (ULG 95 RON),45.16,0,0,0,46.61,0,46.16,45.76,0,45.76
เบนซิน ออกเทน 95 พรีเมียม,0,0,0,0,0,0,0,0,0,0
ดีเซลหมุนเร็ว HSD B7,29.94,29.94,31.74,30.74,31.14,29.94,30.74,30.94,30.74,30.94
ดีเซลหมุนเร็ว HSD B10,29.94,29.94,31.74,30.74,31.14,29.94,30.74,30.94,30.74,30.94
ดีเซลหมุนเร็ว HSD B20,29.94,29.94,31.74,0,31.14,0,30.74,30.94,0,30.94
ดีเซลหมุนเร็ว พรีเมียม,35.96,35.96,38.19,37.26,37.89,0,0,0,0,0
มีผลตั้งแต่ (Effective Date),05 Mar 05:00,05 Mar 05:00,05 Mar 05:00,05 Mar 05:00,05 Mar 05:00,05 Mar 05:00,05 Mar 05:00,05 Mar 05:00,05 Mar 05:00,05 Mar 05:00
 ,,,,,,,,,,
                 ,,,,,,,,,,
"หมายเหตุ :   1/    ราคาน้ำมันเบนซินออกเทน 95 ที่เป็นราคาขายของบริษัทฯ ณ กทม., นนทบุรี, ปทุมธานีและสมุทรปราการ ราคาจะเท่ากับ ",,,,,,,49.6,บาท/ลิตร,,
                     ทั้งนี้ ในเขตอื่นนอกเหนือจากที่แจ้ง จะเป็นราคามาตรฐานที่ประกาศในตารางข้างต้น เป็นราคาเริ่มต้นในการคำนวณค่าความต่าง ที่แตกต่างกันไป,,,,,,,,,,
                2/    ราคาน้ำมันเบนซินออกเทน 95 ที่เป็นราคาขายของบริษัทฯ ณ กทม.และ สมุทรปราการ ราคาจะเท่ากับ 26.59 บาท/ลิตร,,,,,,,,,,
                     ทั้งนี้ ในเขตอื่นนอกเหนือจากที่แจ้ง จะเป็นราคามาตรฐานที่ประกาศในตารางข้างต้น เป็นราคาเริ่มต้นในการคำนวณค่าความต่าง ที่แตกต่างกันไป,,,,,,,,,,
