TABLE 6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
OIL FUND LEVIED ON PETROLEUM PRODUCTS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,," UNIT: Baht/Litre",,
,OIL FUND,,,,,,,,,,,,,,,,
DATE,ULG,UGR,GASOHOL 95,,,GASOHOL 91,KI,HSD **,HSD **,HSD,HSD,LSD,FO,,LPG (B/Kg),,
,,,(E10),(E20),(E85),,,B7,,B20,B5,,(1500),LOW INCOME,COOKING,INDUSTRY,AUTOBILE
,,,,,,,,,,,,,,HOUSEHOLD,,,
MAY-31,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.2891,,
AVG,0.5,0.30000000000000004,0.27,,,,0.10000000000000002,0.5,,,,0.5,0.06,,-2.3417161290322586,,
JUN-7,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.7567,,
JUN-14,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.7507,,
JUN-21,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.848,,
JUN-28,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.851,,
AVG,0.5,0.3,0.2700000000000001,,,,0.10000000000000003,0.5,,,,0.5,0.05999999999999999,,-2.692513333333333,,
JUL-5,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.5105,,
JUL-12,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.479,,
JUL-19,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.4761,,
JUL-26,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.5139,,
AVG,0.5,0.30000000000000004,0.27,,,,0.10000000000000002,0.5,,,,0.5,0.06,,-2.5402129032258065,,
AUG-2,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.9714,,
AUG-9,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-3.0055,,
AUG-16,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-3.0175,,
AUG-23,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-3.0302,,
AUG-30,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-3.0477,,
AVG,0.5,0.3,0.27,,,,0.10000000000000002,0.5,,,,0.5,0.06,,-2.9929516129032256,,
SEP-6,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-3.06744,,
SEP-13,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-3.0711,,
SEP-20,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.9852,,
SEP-27,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.9865,,
AVG,0.5,0.3,0.2700000000000001,,,,0.10000000000000002,0.5,,,,0.5,0.05999999999999999,,-3.035022666666666,,
OCT-4,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-3.0349,,
OCT-11,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-3.0021,,
OCT-18,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.9919,,
OCT-25,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.9935,,
AVG,0.5,0.3,0.27,,,,0.10000000000000002,0.5,,,,0.5,0.06,,-3.009674193548387,,
NOV-1,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.8914,,
NOV-8,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.8895,,
NOV-15,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.7798,,
NOV-22,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.6443,,
NOV-29,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.4707,,
AVG,0.5,0.3,0.04000000000000001,,,,0.10000000000000002,0.5,,,,0.5,0.05999999999999999,,-2.7792133333333333,,
DEC-6,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.3726,,
DEC-13,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.3416,,
DEC-17,0.7,0.5,0.24,,,,0.1,0.5,,,,0.5,0.06,,-2.3416,,
DEC-20,0.7,0.5,0.24,,,,0.1,0.5,,,,0.5,0.06,,-2.3702,,
DEC-27,0.7,0.5,0.24,,,,0.1,0.5,,,,0.5,0.06,,-2.2653,,
DEC-29,1,0.8,0.54,,,,0.1,0.5,,,,0.5,0.06,,-2.2653,,
AVG,0.6258064516129032,0.42580645161290326,0.16580645161290325,,,,0.10000000000000002,0.5,,,,0.5,0.05999999999999999,,-2.363574193548387,,
2005,,,,,,,,,,,,,,,,,
JAN-3,1,0.8,0.54,,,,0.1,0.5,,,,0.5,0.06,,-2.2711,,
JAN-10,1,0.8,0.54,,,,0.1,0.5,,,,0.5,0.06,,-2.2816,,
JAN-17,1,0.8,0.54,,,,0.1,0.5,,,,0.5,0.06,,-2.2365,,
JAN-18,0.75,0.55,0.29,,,,0.1,0.5,,,,0.5,0.06,,-2.2365,,
JAN-24,0.75,0.55,0.29,,,,0.1,0.5,,,,0.5,0.06,,-2.0976,,
JAN-28,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.0976,,
JAN-31,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.0897,,
AVG,0.8548387096774194,0.6548387096774194,0.3948387096774193,,,,0.1,0.5,,,,0.5,0.06,,-2.2202548387096774,,
FAB-7,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.1024,,
FAB-14,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.0848,,
FAB-21,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.0827,,
FAB-28,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.0829,,
AVG,0.5,0.3,0.04,,,,0.10000000000000002,0.5,,,,0.5,0.06,,-2.089657142857143,,
MAR-7,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.0503,,
MAR-14,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.0336,,
MAR-21,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.0663,,
MAR-28,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.1543,,
AVG,0.5,0.3,0.04,,,,0.10000000000000002,0.5,,,,0.5,0.06,,-2.0698709677419354,,
APR-4,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.3146,,
APR-11,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.4208,,
APR-18,0.5,0.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.4519,,
APR-23,0.55,0.35,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.4519,,
APR-25,0.55,0.35,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.4043,,
APR-30,0.65,0.45,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.4043,,
AVG,0.52,0.31999999999999995,0.04000000000000001,,,,0.10000000000000003,0.5,,,,0.5,0.060000000000000005,,-2.3749133333333337,,
