Exchange rate of (DOLLAR (USD))
since 01 Jan 2020 to 31 Dec 2020
(BAHT / 1 DOLLAR (USD))
Period|Buying Rates Sight Bill|Buying Rates Transfer|Average Selling Rates
30 Dec 2020|29.7749|29.8674|30.2068
29 Dec 2020|29.8281|29.9219|30.2606
28 Dec 2020|29.8715|29.9587|30.2723
25 Dec 2020|29.8102|29.9030|30.2442
24 Dec 2020|29.9254|30.0209|30.3524
23 Dec 2020|29.9339|30.0275|30.3704
22 Dec 2020|29.8824|29.9764|30.3059
21 Dec 2020|29.7386|29.8326|30.1685
18 Dec 2020|29.5501|29.6427|29.9653
17 Dec 2020|29.6578|29.7541|30.0820
16 Dec 2020|29.7774|29.8693|30.2180
15 Dec 2020|29.8124|29.9055|30.2546
14 Dec 2020|29.8239|29.9167|30.2614
09 Dec 2020|29.7606|29.8560|30.1864
08 Dec 2020|29.8769|29.9707|30.3189
04 Dec 2020|29.8934|29.9947|30.3481
03 Dec 2020|29.9487|30.0388|30.3866
02 Dec 2020|29.9676|30.0569|30.4054
01 Dec 2020|30.0120|30.1033|30.4413
30 Nov 2020|30.0163|30.1090|30.4520
27 Nov 2020|30.0346|30.1273|30.4598
26 Nov 2020|30.0527|30.1458|30.4924
25 Nov 2020|30.0814|30.1760|30.5096
24 Nov 2020|30.1087|30.2037|30.5296
23 Nov 2020|30.0079|30.1005|30.4446
20 Nov 2020|30.0724|30.1694|30.4959
19 Nov 2020|30.1005|30.1954|30.5350
18 Nov 2020|29.9907|30.0834|30.4071
17 Nov 2020|29.9089|30.0025|30.3473
16 Nov 2020|29.9095|30.0078|30.3373
13 Nov 2020|29.9956|30.0782|30.3851
12 Nov 2020|30.0142|30.1071|30.4325
11 Nov 2020|30.0026|30.1010|30.4290
10 Nov 2020|30.2133|30.3059|30.6405
09 Nov 2020|30.2578|30.3431|30.6773
06 Nov 2020|30.4290|30.5235|30.8654
05 Nov 2020|30.7709|30.8635|31.2030
04 Nov 2020|30.8606|30.9542|31.2910
03 Nov 2020|30.8290|30.9216|31.2628
02 Nov 2020|30.8901|30.9822|31.3353
30 Oct 2020|30.9328|31.0247|31.3706
29 Oct 2020|30.9876|31.0826|31.4242
28 Oct 2020|30.9091|31.0047|31.3399
27 Oct 2020|30.9984|31.0894|31.4208
26 Oct 2020|31.0397|31.1326|31.4749
22 Oct 2020|30.9889|31.0857|31.4221
21 Oct 2020|30.9606|31.0570|31.3933
20 Oct 2020|30.9741|31.0663|31.4056
19 Oct 2020|30.9420|31.0349|31.3743
16 Oct 2020|30.9322|31.0248|31.3688
15 Oct 2020|30.9266|31.0126|31.3351
14 Oct 2020|30.9441|31.0403|31.3735
12 Oct 2020|30.8427|30.9345|31.2634
09 Oct 2020|30.8673|30.9603|31.2966
08 Oct 2020|30.9542|31.0491|31.3888
07 Oct 2020|31.0450|31.1411|31.4721
06 Oct 2020|30.9989|31.0940|31.4259
