observation_date,DCOILBRENTEU
2021-01-04,50.37
2021-01-05,53.16
2021-01-06,53.80
2021-01-07,53.70
2021-01-08,55.51
2021-01-11,54.84
2021-01-12,55.98
2021-01-13,55.52
2021-01-14,55.76
2021-01-15,54.80
2021-01-18,54.21
2021-01-19,55.38
2021-01-20,55.66
2021-01-21,55.68
2021-01-22,55.22
2021-01-25,55.44
2021-01-26,55.26
2021-01-27,55.07
2021-01-28,54.87
2021-01-29,55.25
2021-02-01,56.42
2021-02-02,57.62
2021-02-03,58.61
2021-02-04,58.98
2021-02-05,59.48
2021-02-08,60.17
2021-02-09,60.74
2021-02-10,61.17
2021-02-11,61.09
2021-02-12,62.47
2021-02-15,63.58
2021-02-16,63.96
2021-02-17,65.02
2021-02-18,64.09
2021-02-19,62.84
2021-02-22,64.73
2021-02-23,65.16
2021-02-24,66.85
2021-02-25,66.69
2021-02-26,65.86
2021-03-01,64.56
2021-03-02,63.17
2021-03-03,64.70
2021-03-04,67.32
2021-03-05,69.95
2021-03-08,68.00
2021-03-09,67.03
2021-03-10,67.53
2021-03-11,69.34
2021-03-12,68.87
2021-03-15,68.78
2021-03-16,67.95
2021-03-17,67.73
2021-03-18,62.11
2021-03-19,64.00
2021-03-22,63.89
2021-03-23,59.96
2021-03-24,63.70
2021-03-25,61.21
2021-03-26,63.77
2021-03-29,64.06
2021-03-30,63.28
2021-03-31,63.52
2021-04-01,63.85
2021-04-02,
2021-04-05,
2021-04-06,61.47
2021-04-07,61.86
2021-04-08,62.09
2021-04-09,61.89
2021-04-12,62.38
2021-04-13,62.83
2021-04-14,66.11
2021-04-15,66.13
2021-04-16,65.98
2021-04-19,66.54
2021-04-20,65.34
2021-04-21,64.02
2021-04-22,65.07
2021-04-23,65.75
2021-04-26,65.50
2021-04-27,66.25
2021-04-28,67.08
2021-04-29,68.26
2021-04-30,67.73
2021-05-03,
2021-05-04,68.91
2021-05-05,69.71
2021-05-06,68.62
2021-05-07,68.73
2021-05-10,68.61
2021-05-11,68.83
2021-05-12,69.62
2021-05-13,67.36
2021-05-14,69.24
2021-05-17,69.62
2021-05-18,69.01
2021-05-19,66.88
2021-05-20,65.18
2021-05-21,66.72
2021-05-24,68.59
2021-05-25,68.80
2021-05-26,68.93
2021-05-27,69.43
2021-05-28,69.36
2021-05-31,
2021-06-01,70.03
2021-06-02,70.60
2021-06-03,70.71
2021-06-04,71.30
2021-06-07,70.89
2021-06-08,71.39
2021-06-09,71.31
2021-06-10,71.65
2021-06-11,72.05
2021-06-14,72.27
2021-06-15,73.38
2021-06-16,73.88
2021-06-17,72.92
2021-06-18,73.10
2021-06-21,74.49
2021-06-22,74.92
2021-06-23,75.22
2021-06-24,75.95
2021-06-25,76.45
2021-06-28,74.78
2021-06-29,75.38
2021-06-30,76.94
2021-07-01,76.69
2021-07-02,77.51
2021-07-05,78.34
2021-07-06,75.81
2021-07-07,74.31
2021-07-08,75.07
2021-07-09,77.14
2021-07-12,76.77
2021-07-13,77.50
2021-07-14,75.74
2021-07-15,74.53
2021-07-16,74.46
2021-07-19,69.33
2021-07-20,70.03
2021-07-21,72.54
2021-07-22,74.25
2021-07-23,74.86
2021-07-26,74.79
2021-07-27,74.87
2021-07-28,75.09
2021-07-29,76.30
2021-07-30,77.72
2021-08-02,73.91
2021-08-03,73.24
2021-08-04,70.99
2021-08-05,72.14
2021-08-06,71.02
2021-08-09,69.65
2021-08-10,71.14
2021-08-11,71.99
2021-08-12,71.79
2021-08-13,70.90
2021-08-16,70.07
2021-08-17,69.40
2021-08-18,68.61
2021-08-19,66.80
2021-08-20,65.51
2021-08-23,69.07
2021-08-24,71.21
2021-08-25,72.12
2021-08-26,70.42
2021-08-27,72.26
2021-08-30,
2021-08-31,73.45
2021-09-01,71.99
2021-09-02,73.56
2021-09-03,73.07
2021-09-06,72.43
2021-09-07,71.52
2021-09-08,72.36
2021-09-09,71.32
2021-09-10,72.44
2021-09-13,72.97
2021-09-14,73.05
2021-09-15,74.84
2021-09-16,75.14
2021-09-17,74.64
2021-09-20,73.59
2021-09-21,73.65
2021-09-22,75.50
2021-09-23,76.44
2021-09-24,77.42
2021-09-27,78.85
2021-09-28,78.30
2021-09-29,77.86
2021-09-30,77.81
2021-10-01,79.40
2021-10-04,81.44
2021-10-05,82.72
2021-10-06,81.39
2021-10-07,82.34
2021-10-08,82.17
2021-10-11,83.75
2021-10-12,83.53
2021-10-13,83.53
2021-10-14,83.86
2021-10-15,84.67
2021-10-18,84.13
2021-10-19,85.02
2021-10-20,85.76
2021-10-21,84.58
2021-10-22,85.43
2021-10-25,84.85
2021-10-26,85.11
2021-10-27,84.12
2021-10-28,83.40
2021-10-29,83.10
2021-11-01,84.51
2021-11-02,84.42
2021-11-03,81.10
2021-11-04,80.15
2021-11-05,82.43
2021-11-08,83.22
2021-11-09,84.52
2021-11-10,82.91
2021-11-11,83.40
2021-11-12,82.90
2021-11-15,81.94
2021-11-16,82.85
2021-11-17,80.67
2021-11-18,82.45
2021-11-19,80.24
2021-11-22,80.97
2021-11-23,83.43
2021-11-24,82.37
2021-11-25,82.05
