Date,USD_BATH
2022-01-01,33.1533
2022-01-02,33.1533
2022-01-03,33.1533
2022-01-04,33.0479
2022-01-05,32.9552
2022-01-06,33.1568
2022-01-07,33.3216
2022-01-08,29.8479
2022-01-09,29.8479
2022-01-10,33.3975
2022-01-11,33.2584
2022-01-12,33.112
2022-01-13,33.0058
2022-01-14,32.9458
2022-01-15,29.7205
2022-01-16,29.7205
2022-01-17,33.0007
2022-01-18,32.755
2022-01-19,32.9345
2022-01-20,32.6657
2022-01-21,32.7664
2022-01-22,29.706
2022-01-23,29.706
2022-01-24,32.7663
2022-01-25,32.7597
2022-01-26,32.6739
2022-01-27,32.9141
2022-01-28,33.0122
2022-01-29,29.7204
2022-01-30,29.7204
2022-01-31,33.1684
2022-02-01,32.9766
2022-02-02,32.9407
2022-02-03,32.9015
2022-02-04,32.7734
2022-02-05,29.8382
2022-02-06,29.8382
2022-02-07,32.6899
2022-02-08,32.7005
2022-02-09,32.6133
2022-02-10,32.461
2022-02-11,32.4544
2022-02-12,32.4544
2022-02-13,32.4544
2022-02-14,32.3379
2022-02-15,32.0959
2022-02-16,29.5908
2022-02-17,31.981
2022-02-18,31.8783
2022-02-19,29.7488
2022-02-20,29.7488
2022-02-21,31.8792
2022-02-22,32.1176
2022-02-23,32.1267
2022-02-24,32.1667
2022-02-25,32.276
2022-02-26,32.276
2022-02-27,32.276
2022-02-28,32.4626
2022-03-01,32.3695
2022-03-02,32.4156
2022-03-03,32.2596
2022-03-04,32.3718
2022-03-05,30.1857
2022-03-06,30.1857
2022-03-07,32.5881
2022-03-08,32.8276
2022-03-09,32.8986
2022-03-10,32.7883
2022-03-11,32.9491
2022-03-12,30.3861
2022-03-13,30.3861
2022-03-14,33.1371
2022-03-15,33.2318
2022-03-16,33.1879
2022-03-17,33.0068
2022-03-18,33.0512
2022-03-19,30.6355
2022-03-20,30.6355
2022-03-21,33.1486
2022-03-22,33.3739
2022-03-23,33.3053
2022-03-24,33.3839
2022-03-25,33.2403
2022-03-26,30.8933
2022-03-27,30.8933
2022-03-28,33.4379
2022-03-29,33.4651
2022-03-30,33.1934
2022-03-31,33.0429
2022-04-01,33.1007
2022-04-02,30.9802
2022-04-03,30.9802
2022-04-04,33.2091
2022-04-05,33.1989
2022-04-06,33.1989
2022-04-07,33.2368
2022-04-08,33.2992
2022-04-09,31.1529
2022-04-10,31.1529
2022-04-11,33.357
2022-04-12,33.4084
2022-04-13,33.4084
2022-04-14,33.4084
2022-04-15,33.4084
2022-04-16,30.9991
2022-04-17,30.9991
2022-04-18,33.4005
2022-04-19,33.4611
2022-04-20,33.5589
2022-04-21,33.5518
2022-04-22,33.6396
2022-04-23,31.1345
2022-04-24,31.1345
2022-04-25,33.7408
2022-04-26,33.8734
2022-04-27,34.0837
2022-04-28,34.208
2022-04-29,34.0916
2022-04-30,30.9272
2022-05-01,30.9272
2022-05-02,30.9272
2022-05-03,34.182
2022-05-04,34.182
2022-05-05,33.8205
2022-05-06,34.1114
2022-05-07,30.9671
2022-05-08,30.9671
2022-05-09,34.2388
2022-05-10,34.305
2022-05-11,34.4101
2022-05-12,34.4532
2022-05-13,34.4621
2022-05-14,31.0819
2022-05-15,31.0819
2022-05-16,31.0819
2022-05-17,34.3835
2022-05-18,34.339
2022-05-19,34.3683
