Date,USD_BATH
2020-01-01,29.8855
2020-01-02,29.8406
2020-01-03,29.8997
2020-01-04,29.8997
2020-01-05,29.8997
2020-01-06,29.8793
2020-01-07,29.8849
2020-01-08,30.022
2020-01-09,30.0287
2020-01-10,30.0005
2020-01-11,30.0005
2020-01-12,30.0005
2020-01-13,29.9242
2020-01-14,29.9968
2020-01-15,29.9993
2020-01-16,30.0152
2020-01-17,30.2028
2020-01-18,30.2028
2020-01-19,30.2028
2020-01-20,30.1302
2020-01-21,30.0952
2020-01-22,30.1325
2020-01-23,30.1802
2020-01-24,30.2525
2020-01-25,30.2525
2020-01-26,30.2525
2020-01-27,30.3984
2020-01-28,30.5183
2020-01-29,30.6222
2020-01-30,30.92
2020-01-31,30.8734
2020-02-01,30.8734
2020-02-02,30.8734
2020-02-03,30.9168
2020-02-04,30.7538
2020-02-05,30.831
2020-02-06,30.8352
2020-02-07,30.925
2020-02-08,30.925
2020-02-09,30.925
2020-02-10,30.925
2020-02-11,30.9378
2020-02-12,30.9152
2020-02-13,30.8944
2020-02-14,30.887
2020-02-15,30.887
2020-02-16,30.887
2020-02-17,30.9093
2020-02-18,30.9637
2020-02-19,30.9284
2020-02-20,31.0463
2020-02-21,31.3281
2020-02-22,31.3281
2020-02-23,31.3281
2020-02-24,31.4617
2020-02-25,31.3818
2020-02-26,31.5922
2020-02-27,31.545
2020-02-28,31.3791
2020-02-29,31.3791
2020-03-01,31.3791
2020-03-02,31.1429
2020-03-03,31.2434
2020-03-04,31.1285
2020-03-05,31.1829
2020-03-06,31.3313
2020-03-07,31.3313
2020-03-08,31.3313
2020-03-09,31.2457
2020-03-10,31.1537
2020-03-11,31.2374
2020-03-12,31.3049
2020-03-13,31.6677
2020-03-14,31.6677
2020-03-15,31.6677
2020-03-16,31.6919
2020-03-17,31.8863
2020-03-18,32.0514
2020-03-19,32.3711
2020-03-20,32.2634
2020-03-21,32.2634
2020-03-22,32.2634
2020-03-23,32.6977
2020-03-24,32.6317
2020-03-25,32.5984
2020-03-26,32.5439
2020-03-27,32.2178
2020-03-28,32.2178
2020-03-29,32.2178
2020-03-30,32.3965
2020-03-31,32.4257
2020-04-01,32.6345
2020-04-02,32.8248
2020-04-03,32.6645
2020-04-04,32.6645
2020-04-05,32.6645
2020-04-06,32.6645
2020-04-07,32.5557
2020-04-08,32.5495
2020-04-09,32.5113
2020-04-10,32.4202
2020-04-11,32.4202
2020-04-12,32.4202
2020-04-13,32.4779
2020-04-14,32.4917
2020-04-15,32.348
2020-04-16,32.4597
2020-04-17,32.2567
2020-04-18,32.2567
2020-04-19,32.2567
2020-04-20,32.2414
2020-04-21,32.296
2020-04-22,32.2339
2020-04-23,32.101
2020-04-24,32.1661
2020-04-25,32.1661
2020-04-26,32.1661
2020-04-27,32.2108
2020-04-28,32.2366
2020-04-29,32.1567
2020-04-30,32.1143
2020-05-01,32.1143
2020-05-02,32.1143
2020-05-03,32.1143
2020-05-04,32.1143
2020-05-05,32.1142
2020-05-06,32.1142
2020-05-07,32.1803
2020-05-08,32.0118
2020-05-09,32.0118
2020-05-10,32.0118
2020-05-11,31.905
2020-05-12,31.8998
2020-05-13,31.8147
2020-05-14,31.8331
2020-05-15,31.8363
2020-05-16,31.8363
2020-05-17,31.8363
2020-05-18,31.8011
2020-05-19,31.6711
2020-05-20,31.6192
2020-05-21,31.5877
2020-05-22,31.6158
2020-05-23,31.6158
2020-05-24,31.6158
2020-05-25,31.6928
2020-05-26,31.6509
2020-05-27,31.6154
2020-05-28,31.6143
2020-05-29,31.5807
2020-05-30,31.5807
