Date,USD_BATH
2021-01-01,29.7749
2021-01-02,29.7749
2021-01-03,29.7749
2021-01-04,29.6679
2021-01-05,29.658
2021-01-06,29.6665
2021-01-07,29.6658
2021-01-08,29.8479
2021-01-09,29.8479
2021-01-10,29.8479
2021-01-11,29.8876
2021-01-12,29.895
2021-01-13,29.7523
2021-01-14,29.7406
2021-01-15,29.7205
2021-01-16,29.7205
2021-01-17,29.7205
2021-01-18,29.8492
2021-01-19,29.7992
2021-01-20,29.7209
2021-01-21,29.6728
2021-01-22,29.706
2021-01-23,29.706
2021-01-24,29.706
2021-01-25,29.7117
2021-01-26,29.7094
2021-01-27,29.7049
2021-01-28,29.7639
2021-01-29,29.7204
2021-01-30,29.7204
2021-01-31,29.7204
2021-02-01,29.645
2021-02-02,29.7106
2021-02-03,29.7478
2021-02-04,29.7531
2021-02-05,29.8382
2021-02-06,29.8382
2021-02-07,29.8382
2021-02-08,29.7765
2021-02-09,29.6936
2021-02-10,29.6471
2021-02-11,29.6407
2021-02-12,29.6407
2021-02-13,29.6407
2021-02-14,29.6407
2021-02-15,29.6234
2021-02-16,29.5908
2021-02-17,29.7301
2021-02-18,29.7334
2021-02-19,29.7488
2021-02-20,29.7488
2021-02-21,29.7488
2021-02-22,29.7233
2021-02-23,29.7289
2021-02-24,29.7503
2021-02-25,29.7825
2021-02-26,29.7825
2021-02-27,29.7825
2021-02-28,29.7825
2021-03-01,30.0878
2021-03-02,30.046
2021-03-03,30.0215
2021-03-04,30.0938
2021-03-05,30.1857
2021-03-06,30.1857
2021-03-07,30.1857
2021-03-08,30.3583
2021-03-09,30.6029
2021-03-10,30.4862
2021-03-11,30.3743
2021-03-12,30.3861
2021-03-13,30.3861
2021-03-14,30.3861
2021-03-15,30.4589
2021-03-16,30.4683
2021-03-17,30.5271
2021-03-18,30.4836
2021-03-19,30.6355
2021-03-20,30.6355
2021-03-21,30.6355
2021-03-22,30.6361
2021-03-23,30.6929
2021-03-24,30.7521
2021-03-25,30.8086
2021-03-26,30.8933
2021-03-27,30.8933
2021-03-28,30.8933
2021-03-29,30.9265
2021-03-30,30.9652
2021-03-31,31.0817
2021-04-01,31.0111
2021-04-02,30.9802
2021-04-03,30.9802
2021-04-04,30.9802
2021-04-05,31.0732
2021-04-06,31.0732
2021-04-07,31.0387
2021-04-08,31.1683
2021-04-09,31.1529
2021-04-10,31.1529
2021-04-11,31.1529
2021-04-12,31.2745
2021-04-13,31.2745
2021-04-14,31.2745
2021-04-15,31.2745
2021-04-16,30.9991
2021-04-17,30.9991
2021-04-18,30.9991
2021-04-19,30.976
2021-04-20,30.9504
2021-04-21,31.0402
2021-04-22,31.054
2021-04-23,31.1345
2021-04-24,31.1345
2021-04-25,31.1345
2021-04-26,31.1892
2021-04-27,31.1548
2021-04-28,31.1368
2021-04-29,31.011
2021-04-30,30.9272
2021-05-01,30.9272
2021-05-02,30.9272
2021-05-03,30.9272
2021-05-04,30.9272
2021-05-05,30.9205
2021-05-06,30.9211
2021-05-07,30.9671
2021-05-08,30.9671
2021-05-09,30.9671
2021-05-10,30.851
2021-05-11,30.845
2021-05-12,30.9408
2021-05-13,31.0445
2021-05-14,31.0819
2021-05-15,31.0819
2021-05-16,31.0819
2021-05-17,31.1371
2021-05-18,31.2094
2021-05-19,31.1655
2021-05-20,31.138
2021-05-21,31.1134
2021-05-22,31.1134
2021-05-23,31.1134
2021-05-24,31.1026
2021-05-25,31.0687
2021-05-26,31.0687
2021-05-27,31.027
2021-05-28,31.0291
2021-05-29,31.0291
2021-05-30,31.0291
2021-05-31,30.9918
2021-06-01,30.911
2021-06-02,30.8901
2021-06-03,30.8901
2021-06-04,30.9538
2021-06-05,30.9538
2021-06-06,30.9538
2021-06-07,30.9318
2021-06-08,30.9345
2021-06-09,30.9156
2021-06-10,30.8867
2021-06-11,30.8293
2021-06-12,30.8293
2021-06-13,30.8293
2021-06-14,30.8394
2021-06-15,30.8477
2021-06-16,30.9009
2021-06-17,31.0622
2021-06-18,31.1293
2021-06-19,31.1293
2021-06-20,31.1293
2021-06-21,31.2978
2021-06-22,31.4003
2021-06-23,31.5399
2021-06-24,31.6319
2021-06-25,31.5304
2021-06-26,31.5304
2021-06-27,31.5304
2021-06-28,31.6127
2021-06-29,31.7494
2021-06-30,31.7875
2021-07-01,31.7542
2021-07-02,31.9063
2021-07-03,31.9063
2021-07-04,31.9063
2021-07-05,31.9087
2021-07-06,31.8718
2021-07-07,32.034
2021-07-08,32.179
2021-07-09,32.3914
2021-07-10,32.3914
2021-07-11,32.3914
2021-07-12,32.3425
2021-07-13,32.3613
2021-07-14,32.3785
2021-07-15,32.3678
2021-07-16,32.4695
2021-07-17,32.4695
2021-07-18,32.4695
2021-07-19,32.5913
2021-07-20,32.562
2021-07-21,32.5821
2021-07-22,32.5659
2021-07-23,32.6494
2021-07-24,32.6494
2021-07-25,32.6494
2021-07-26,32.6494
2021-07-27,32.6264
2021-07-28,32.6264
2021-07-29,32.621
2021-07-30,32.6203
2021-07-31,32.6203
2021-08-01,32.6203
2021-08-02,32.6667
2021-08-03,32.7058
2021-08-04,32.8059
2021-08-05,32.8781
2021-08-06,33.0659
2021-08-07,33.0659
2021-08-08,33.0659
2021-08-09,33.1554
2021-08-10,33.1888
2021-08-11,33.138
2021-08-12,33.138
2021-08-13,32.9571
2021-08-14,32.9571
2021-08-15,32.9571
2021-08-16,33.102
2021-08-17,33.1509
2021-08-18,32.9503
2021-08-19,33.1245
2021-08-20,33.0719
2021-08-21,33.0719
2021-08-22,33.0719
2021-08-23,33.0532
2021-08-24,32.8801
2021-08-25,32.5975
2021-08-26,32.4993
2021-08-27,32.4677
2021-08-28,32.4677
2021-08-29,32.4677
2021-08-30,32.2638
2021-08-31,32.1264
2021-09-01,32.0395
2021-09-02,32.1349
2021-09-03,32.2384
2021-09-04,32.2384
2021-09-05,32.2384
2021-09-06,32.1871
2021-09-07,32.2306
2021-09-08,32.4939
2021-09-09,32.4804
2021-09-10,32.4394
2021-09-11,32.4394
2021-09-12,32.4394
2021-09-13,32.5133
2021-09-14,32.6423
2021-09-15,32.6726
2021-09-16,32.639
2021-09-17,32.9128
2021-09-18,32.9128
2021-09-19,32.9128
2021-09-20,33.0834
2021-09-21,33.1377
2021-09-22,33.1476
2021-09-23,33.2371
2021-09-24,33.2371
2021-09-25,33.2371
2021-09-26,33.2371
2021-09-27,33.1344
2021-09-28,33.3991
2021-09-29,33.6005
2021-09-30,33.6589
2021-10-01,33.4788
2021-10-02,33.4788
2021-10-03,33.4788
2021-10-04,33.4244
2021-10-05,33.5507
2021-10-06,33.6004
2021-10-07,33.5487
2021-10-08,33.5991
2021-10-09,33.5991
